,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
1110,UCON64,0,0,0,0,0,0,0,0,4,0
1111,UCON63,0,0,0,0,0,0,0,0,0,0
1112,LTR43,77,43,43,26,58,65,62,54,24,4
1113,L1MD,2492,1820,3460,1931,2695,1665,2187,2473,2599,1409
1114,MLT1J,3464,2986,3920,2666,3843,2974,3597,3557,4473,2968
1115,MLT1N2,907,523,908,536,771,425,769,642,689,428
1116,UCON28a,0,0,24,48,48,0,12,8,4,4
1117,UCON28b,15,4,28,4,16,8,0,28,12,0
1118,LSU-rRNA_Hsa,14314,12306,21007,15854,10015,3653,50822,10829,12492,17280
1119,MLT1H2-int,63,51,92,79,30,32,44,24,88,8
1120,HERVL18-int,372,429,421,395,506,228,239,292,387,180
1121,tRNA-Phe-TTY,0,0,3,0,0,8,12,0,0,0
1122,tRNA-Thr-ACA,0,0,0,8,0,0,0,12,0,0
1123,MSTB2-int,12,3,26,9,44,26,47,44,29,28
1124,MamRep137,1187,898,1241,884,893,719,1091,877,1210,793
1125,MER66B,509,506,552,484,614,662,677,453,483,552
1126,MER83,145,104,186,109,128,130,77,120,138,143
1127,MER91A,572,418,967,584,612,455,436,343,555,386
1128,MIR1_Amn,3105,2092,3808,2052,2562,2223,2698,2692,3164,2047
1129,MER45R,67,24,62,95,20,36,26,29,47,32
1130,MER4D0,190,94,237,119,195,209,191,160,203,207
1131,BLACKJACK,306,238,418,344,379,363,371,379,432,335
1132,MLT1A1,1268,1158,1582,1174,1252,1038,1451,1113,1765,1005
1133,MLT1A0,3923,3297,5411,3600,4406,3288,3802,2992,4287,3096
1134,L2-3_AMi,0,0,0,0,0,0,0,0,0,0
1135,HERVL-int,1568,1152,1951,1262,1341,838,1260,1444,1376,1129
1136,MER91C,251,189,335,254,228,257,337,198,360,371
1137,L1MA5,1570,1377,2490,1268,1631,1090,1318,1542,1765,886
1138,MLT1N2-int,0,0,12,24,36,0,0,8,4,0
1139,U6,147,365,420,274,337,258,333,298,336,366
1140,X7B_LINE,180,55,197,105,166,73,221,168,164,107
1141,L1M2a,824,777,1018,581,925,774,822,848,780,712
1142,MamRep1879,273,164,329,340,168,82,317,208,248,40
1143,L1M2c,239,212,384,144,204,103,140,210,330,155
1144,L1M2b,40,88,94,64,20,80,68,68,52,67
1145,CR1-8_Crp,0,0,0,0,0,0,0,0,0,0
1146,LTR22A,17,8,26,22,26,66,36,25,45,89
1147,HERV-Fc1-int,5,0,12,5,39,23,2,0,17,0
1148,AluSz6,7104,6199,8768,5632,8052,4986,7094,6320,7246,4895
1149,L1PA8A,931,844,1393,912,1066,653,959,913,1171,510
1150,MER68B,252,202,217,135,223,191,210,226,161,105
1151,MER68C,54,24,52,16,48,4,36,16,29,0
1152,MER83C,36,16,40,0,8,20,24,12,14,24
1153,MER50C,43,31,48,36,40,12,24,27,24,0
1154,AluYd8,57,11,10,21,13,8,19,14,20,14
1155,MER52A,630,654,996,584,546,414,643,573,608,549
1156,tRNA-Trp-TGG,0,0,0,0,0,0,0,0,0,0
1157,MER52C,99,127,142,83,72,52,50,67,132,85
1158,L1M2,2503,2102,3655,2107,2772,1824,2183,2089,2795,1924
1159,L1M3,1297,1209,1822,1009,1482,968,1042,1167,1382,1141
1160,L2c,54393,45966,72056,46060,51633,37509,50998,46066,53912,39794
1161,L1M1,2089,2002,3763,2033,2447,2160,2373,2334,3273,2130
1162,L1M6,794,592,1188,790,750,808,737,767,888,665
1163,L1M7,673,642,816,567,598,596,922,744,726,457
1164,L1M4,5775,5572,9487,5661,6103,3730,5538,5847,7354,4194
1165,L1M5,10816,8720,17122,9803,12684,8336,10197,11414,12973,8675
1166,MLT1G,628,436,724,457,538,452,468,385,558,395
1167,MLT1F,1246,1062,1704,1111,1183,879,1483,1237,1474,1093
1168,L1M8,458,311,656,398,343,210,414,550,487,568
1169,MLT1D,4862,4402,7157,4781,4814,3811,4696,4328,5147,3867
1170,MLT1C,4814,4224,7346,4188,4487,3591,4908,4449,5493,4194
1171,MLT1B,9634,6163,8615,7107,9517,4637,6694,5946,9014,7835
1172,MLT1A,1822,1640,2800,1602,2103,1537,1815,1586,2082,1579
1173,tRNA-Ser-TCA_m_,199,230,123,104,190,193,169,218,29,31
1174,MER4A1,522,480,599,507,644,356,581,375,462,245
1175,UCON99,12,0,4,4,16,4,20,0,0,0
1176,Looper,304,235,418,232,184,123,217,233,245,190
1177,UCON92,0,0,0,0,0,0,0,0,0,0
1178,MLT1B-int,315,338,455,198,436,244,400,198,393,155
1179,LTR9B,223,280,349,250,360,116,327,338,298,302
1180,LTR9C,67,32,38,40,0,0,12,0,12,0
1181,LTR9D,215,101,258,180,248,54,210,129,368,231
1182,UCON22,0,0,4,0,0,0,27,0,12,0
1183,UCON94,24,4,8,4,0,0,20,12,16,0
1184,MADE1,446,456,494,266,377,287,393,376,471,397
1185,MADE2,432,369,766,503,488,319,468,523,651,439
1186,AluSp,8056,5515,6593,5064,7182,4832,7218,6997,6656,5286
1187,AluSq,3646,3125,3200,2436,3215,2891,3705,3235,3114,2547
1188,PABL_A-int,311,177,271,168,154,66,231,139,324,99
1189,LTR33C,134,86,147,112,40,28,116,119,78,88
1190,tRNA-Lys-AAG,25,16,43,48,20,75,48,48,20,55
1191,AluSx,20192,16549,18579,13697,18464,15049,18917,16645,18456,13091
1192,AluSz,16127,13070,16456,11596,15521,12148,15584,14397,15448,10476
1193,Ricksha_b,27,35,61,66,49,0,11,48,56,99
1194,PABL_B,76,64,80,36,83,36,71,144,126,18
1195,Charlie20a,241,133,259,154,216,35,180,133,244,149
1196,L1MEh,409,434,736,394,342,322,462,421,571,393
1197,L1MEi,680,707,1414,749,824,351,823,696,1057,774
1198,L1MEj,341,343,824,477,390,321,416,267,430,316
1199,AluSc,6398,5141,5569,3806,5811,5358,6151,5619,5716,3912
1200,L1MEd,3609,3442,6954,3783,4358,3267,3644,4353,5463,3248
1201,tRNA-Gly-GGA,8,44,19,12,16,0,56,0,52,0
1202,Charlie23a,202,142,315,156,311,130,121,201,338,296
1203,L1MEg,3038,2566,4986,2980,3426,2516,3050,2998,3645,2572
1204,LTR7B,348,241,221,214,283,176,231,198,198,231
1205,L1MEa,108,44,132,70,89,20,109,16,80,28
1206,L1MEb,494,348,724,505,446,301,207,504,485,391
1207,L1MEc,4982,4005,8165,4660,5306,3624,4676,4964,6078,4334
1208,LTR76,130,125,191,140,170,182,130,124,97,23
1209,LTR77,35,4,63,0,0,5,0,0,4,0
1210,LTR101_Mam,256,225,252,195,269,72,214,246,248,90
1211,LTR75,154,92,209,104,139,52,132,60,140,60
1212,LTR47A,151,126,190,113,130,94,181,165,225,132
1213,AluYc3,150,103,122,82,82,83,101,36,39,72
1214,LTR70,91,140,128,118,116,233,192,137,175,137
1215,LTR47B,0,0,0,0,4,16,8,0,4,0
1216,tRNA-Glu-GAG,0,0,0,0,0,0,0,0,0,0
1217,Tigger3d,224,250,356,122,203,246,267,230,348,46
1218,Tigger3c,517,618,873,518,731,545,525,715,988,540
1219,MLT1E1A,766,569,837,338,573,500,666,440,942,353
1220,LTR78,520,535,1172,665,715,653,608,576,931,460
1221,LTR79,633,646,793,413,728,343,497,474,618,449
1222,tRNA-Tyr-TAC,0,0,0,24,0,0,0,0,32,0
1223,LTR67B,571,548,860,576,571,402,747,571,770,436
1224,MSTA1-int,32,16,24,8,0,0,0,0,4,0
1225,MER113A,630,415,713,411,499,327,464,568,559,549
1226,MER113B,148,63,251,123,181,155,267,104,161,223
1227,tRNA-Glu-GAG_,261,93,108,101,57,90,79,105,165,110
1228,MamRep1527,112,36,167,41,100,128,144,128,74,97
1229,MER1B,2255,1868,2783,1652,2204,1609,2047,1849,2416,1296
1230,LTR1B1,0,28,16,0,0,16,16,16,16,14
1231,LTR1B0,12,8,28,16,8,0,16,16,52,4
1232,LTR37-int,184,192,683,396,461,432,349,368,811,349
1233,Harlequin-int,374,455,835,496,580,278,399,412,603,303
1234,LTR88a,122,92,135,152,104,91,72,39,106,71
1235,tRNA-Ala-GCG,0,0,0,0,0,0,0,0,0,0
1236,L1ME5,943,594,1411,632,663,707,582,677,911,592
1237,HERV16-int,129,157,267,193,118,88,198,165,312,164
1238,L1ME1,11063,9579,18488,10593,12632,9268,10886,11721,14968,9382
1239,CR1-L3B_Croc,0,0,0,4,0,0,0,0,0,0
1240,L1ME3,3291,2763,5006,2543,3694,2031,2861,3060,3816,2600
1241,MSTC-int,68,112,59,24,84,4,92,63,95,64
1242,L1PBa1,286,240,501,127,268,174,272,277,220,242
1243,LTR43-int,17,30,21,8,86,20,11,1,20,12
1244,LTR7C,383,221,273,151,180,133,187,147,108,144
1245,tRNA-Ala-GCY,0,24,0,0,0,0,0,0,0,0
1246,L1MA5A,1029,941,1876,974,1056,837,874,978,1336,634
1247,LTR5_Hs,289,186,324,161,182,139,371,243,211,170
1248,MER5A,9692,7845,9510,6551,9836,7252,10548,8878,9864,7311
1249,REP522,22,2,6,3,0,0,3,2,38,0
